size,score,group
a_MaleFlaccid,5,non-Phasianidae
a_MaleFlaccid,5,non-Phasianidae
a_MaleFlaccid,5,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,4,non-Phasianidae
a_MaleFlaccid,3,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,2,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,1,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,0,non-Phasianidae
a_MaleFlaccid,5,Phasianidae
a_MaleFlaccid,5,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,4,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,4,Phasianidae
a_MaleFlaccid,4,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,4,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,0,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,2,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,1,Phasianidae
a_MaleFlaccid,3,Phasianidae
a_MaleFlaccid,3,Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,4,non-Phasianidae
FemaleFS,4,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,4,non-Phasianidae
FemaleFS,3,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,2,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,1,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,0,non-Phasianidae
FemaleFS,4,Phasianidae
FemaleFS,4,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,0,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,3,Phasianidae
FemaleFS,1,Phasianidae
FemaleFS,2,Phasianidae
FemaleFS,1,Phasianidae